Log Key,Message,Occurrences
11,ens3 Configured,195741
17,Could not set hostname Method call timed out,183124
8,Starting <*> Service...,183049
14,<*> Main process exited code <*> status <*>,183040
15,<*> Failed with result 'exit-code'.,183037
16,Failed to start <*>,183034
6,"[system] Activating via systemd service name 'org.freedesktop.hostname1' unit 'dbus-org.freedesktop.hostname1.service' requested by ' <*>.<*>' uid <*> pid <*> comm """"/lib/systemd/systemd-networkd """" label """"unconfined""""",183023
10,ens3 DHCPv4 address <*>/<*> via <*>,183022
5,ens3 DHCP lease lost,183021
12,systemd-hostnamed.service Failed to set up mount namespacing No such file or directory,183017
13,systemd-hostnamed.service Failed at step NAMESPACE spawning /lib/systemd/systemd-hostnamed No such file or directory,183017
18,Could not set hostname Failed to activate service 'org.freedesktop.hostname1' timed out service_start_timeout 25000ms,182965
9,Started ntp-systemd-netif.service.,101637
26,Low random number entropy available <*>,91214
20,pcp CMD <*> -C,62665
7,Network configuration changed trying to establish connection.,27948
19,Synchronized to time server <*> <*> <*> .,27903
401,<*> mDNS multicast group on interface <*> with address <*>,17915
404,<*> <*> address record for <*> on <*>,17914
4,root CMD cd / && run-parts --report <*>,16447
87,High aggregate context switch rate <*>,10776
44,[I <*>.<*> LabApp] <*>,9290
402,New relevant interface <*> for mDNS.,8960
411,Interface ens3.IPv4 no longer relevant for mDNS.,8955
105,[W <*>.<*> LabApp] WebSocket ping timeout after <*> ms.,5545
3,Server returned error NXDOMAIN mitigating potential DNS violation DVE-<*>-<*> retrying transaction with reduced feature level UDP.,5415
33,Starting Daily apt <*> activities...,1951
34,Started Daily apt <*> activities.,1950
32,Started Message of the Day.,1312
29,Starting Message of the Day...,1312
121,[W <*>.<*> LabApp] <*>,1157
81,debug running <*> on /dev/sda<*>,1079
102,[I <*>.<*> LabApp] Saving file at <*>,831
77,"* """"If you've been waiting for the perfect Kubernetes dev solution for",808
78,"macOS the wait is over. Learn how to install Microk8s on macOS.""""",808
79,https //www.techrepublic.com/article/how-to-install-microk8s-on-macos/,808
47,,789
21,Starting Cleanup of Temporary Directories...,687
22,Started Cleanup of Temporary Directories.,687
28,root CMD test -x /etc/cron.daily/popularity-contest && /etc/cron.daily/popularity-contest --crond,663
120,[W <*>.<*> LabApp] <*> GET <*> <*> <*> <*> referer <*>,658
36,pcp CMD /usr/lib/pcp/bin/pmlogger_daily,652
35,pcp CMD /usr/lib/pcp/bin/pmie_daily -X xz -x <*>,652
37,pcp CMD /usr/lib/pcp/bin/pmlogger_daily_report -o /var/log/pcp/sa,650
51,Reached target <*>,637
67,File <*> line <*> in <*>,601
72,Reloading.,493
53,<*> <*> GnuPG cryptographic agent and passphrase <*>,478
66,Traceback most recent call last,460
75,Stopped target <*>,440
85,debug /dev/sda15 is a <*> partition,415
49,<*> User Manager for UID <*>,402
92,[<*>.<*>] audit type <*> audit <*>.<*> <*> pid <*> uid <*> auid <*> ses <*> msg <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> terminal <*> res success',379
96,[<*>.<*>] audit type <*> audit <*>.<*> <*> item <*> name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> nametype <*> cap_fp <*> cap_fi <*> cap_fe <*> cap_fver <*>,370
62,Websocket closed,368
139,* Are you ready for Kubernetes <*>.<*>? It's nearly here! Try RC3 with,362
140,sudo snap install microk8s --channel <*>.<*>/candidate --classic,362
141,https <*> has docs and details.,361
97,<*> audit type <*> audit <*>.<*> <*> proctitle <*>,319
71,E Sub-process /lib/systemd/systemd-networkd-wait-online returned an error code <*>,317
70,Could not create manager No space left on device,317
103,[I <*>.<*> LabApp] Starting buffering for <*>,315
54,<*> D-Bus User Message Bus Socket.,290
43,[W <*>.<*> LabApp] Could not determine jupyterlab build status without nodejs,277
95,[<*>.<*>] audit type <*> audit <*>.<*> <*> saddr <*>,230
69,tornado.iostream.StreamClosedError Stream is closed,217
214,Task exception was never retrieved,216
216,await fut,216
48,<*> slice User Slice of <*>,216
215,future <Task finished coro <WebSocketProtocol13.write_message.<locals>.wrapper done defined at /home/ubuntu/.local/lib/python3.<*>/site-packages/tornado/websocket.py <*>> exception WebSocketClosedError >,216
219,tornado.websocket.WebSocketClosedError,216
218,raise WebSocketClosedError,216
217,During handling of the above exception another exception occurred,216
260,"time <*> <*>"""" level info msg <*> <*> <*> module grpc",208
40,<*> <*> <*> <*> bytes trimmed,200
58,<*> Audit the activities of users and processes on your <*>,192
104,[I <*>.<*> LabApp] Restoring connection for <*>,191
52,<*> <*> GnuPG network certificate management daemon.,188
55,<*> <*> GnuPG cryptographic agent ssh-agent emulation .,188
56,<*> <*> REST API socket for snapd user session agent.,188
50,Started Session <*> of user <*>,154
30,* MicroK8s gets a native Windows installer and command-line integration.,140
31,https //ubuntu.com/blog/microk8s-installers-windows-and-macos,140
94,[<*>.<*>] audit type <*> audit <*>.<*> <*> auid <*> ses <*> op <*> key <*> list <*> res <*>,140
93,<*> kauditd_printk_skb <*> callbacks suppressed,134
73,<*> Failed to <*> <*> <*> No space left on device,130
27,[I <*>.<*> LabApp] <*> GET <*> <*>,124
441,[ <*>.<*>] audit <*> <*> <*> audit_backlog_limit <*>,120
57,Startup finished in <*>,102
41,Started Discard unused blocks.,100
39,Starting Discard unused blocks...,100
45,[I <*>.<*> LabApp] <*> <*> for 3f888013-c769-474d-9b80-42f7142b1d25 <*>,93
129,Received SIGRTMIN+<*> from PID <*> <*> .,86
